date,rr,precipitation
19970321,    0,0
19970322,    6,0.6
19970323,    0,0
19970324,    2,0.2
19970325,    0,0
19970326,    0,0
19970327,    0,0
19970328,    0,0
19970329,    0,0
19970330,    0,0
19970331,    0,0
19970401,    0,0
19970402,    0,0
19970403,    0,0
19970404,    0,0
19970405,    0,0
19970406,    0,0
19970407,    0,0
19970408,    0,0
19970409,    0,0
19970410,    0,0
19970411,    0,0
19970412,    0,0
19970413,    0,0
19970414,    0,0
19970415,    0,0
19970416,    0,0
19970417,    0,0
19970418,    1,0.1
19970419,    0,0
19970420,    0,0
19970421,    0,0
19970422,    0,0
19970423,    0,0
19970424,    0,0
19970425,   84,8.4
19970426,   13,1.3
19970427,    0,0
19970428,    0,0
19970429,    0,0
19970430,    0,0
19970501,    0,0
19970502,    0,0
19970503,    6,0.6
19970504,    2,0.2
19970505,   68,6.8
19970506,    0,0
19970507,   18,1.8
19970508,   14,1.4
19970509,   44,4.4
19970510,    2,0.2
19970511,    4,0.4
19970512,   30,3
19970513,    2,0.2
19970514,    0,0
19970515,    0,0
19970516,   22,2.2
19970517,    0,0
19970518,    0,0
19970519,   10,1
19970520,   54,5.4
19970521,    0,0
19970522,    6,0.6
19970523,    0,0
19970524,    0,0
19970525,    0,0
19970526,    0,0
19970527,    0,0
19970528,    0,0
19970529,    0,0
19970530,    0,0
19970531,    0,0
19970601,    0,0
19970602,    0,0
19970603,    0,0
19970604,    0,0
19970605,    4,0.4
19970606,  118,11.8
19970607,    0,0
19970608,   24,2.4
19970609,    0,0
19970610,   28,2.8
19970611,   46,4.6
19970612,    0,0
19970613,    0,0
19970614,    0,0
19970615,    2,0.2
19970616,    0,0
19970617,   18,1.8
19970618,    0,0
19970619,   80,8
19970620,   28,2.8
19970621,   70,7
19970622,   72,7.2
19970623,   16,1.6
19970624,    4,0.4
19970625,   96,9.6
19970626,  220,22
19970627,  100,10
19970628,    4,0.4
19970629,    0,0
19970630,    0,0
19970701,    0,0
19970702,    4,0.4
19970703,   80,8
19970704,   22,2.2
19970705,    0,0
19970706,    0,0
19970707,    0,0
19970708,    8,0.8
19970709,    0,0
19970710,    0,0
19970711,    0,0
19970712,    0,0
19970713,   18,1.8
19970714,    2,0.2
19970715,    0,0
19970716,    4,0.4
19970717,    4,0.4
19970718,   16,1.6
19970719,    0,0
19970720,    0,0
19970721,    0,0
19970722,    0,0
19970723,    0,0
19970724,   38,3.8
19970725,    0,0
19970726,   76,7.6
19970727,    0,0
19970728,    0,0
19970729,   12,1.2
19970730,    2,0.2
19970731,   60,6
19970801,    0,0
19970802,    0,0
19970803,   21,2.1
19970804,   95,9.5
19970805,    0,0
19970806,  316,31.6
19970807,    0,0
19970808,    0,0
19970809,    0,0
19970810,    0,0
19970811,    0,0
19970812,   24,2.4
19970813,    0,0
19970814,    0,0
19970815,    0,0
19970816,    2,0.2
19970817,    0,0
19970818,    0,0
19970819,    0,0
19970820,    0,0
19970821,    0,0
19970822,    0,0
19970823,    0,0
19970824,   73,7.3
19970825,   16,1.6
19970826,    2,0.2
19970827,   94,9.4
19970828,    4,0.4
19970829,   54,5.4
19970830,    4,0.4
