date,ss,sunshine
20170617,  124,12.4
20170618,  100,10
20170619,  100,10
20170620,  111,11.1
20170621,  125,12.5
20170622,   16,1.6
20170623,   71,7.1
20170624,    6,0.6
20170625,   21,2.1
20170626,  101,10.1
20170627,    1,0.1
20170628,    0,0
20170629,    5,0.5
20170630,   70,7
20170701,   36,3.6
20170702,  126,12.6
20170703,   48,4.8
20170704,   91,9.1
20170705,  139,13.9
20170706,  103,10.3
20170707,  120,12
20170708,   76,7.6
20170709,   70,7
20170710,  104,10.4
20170711,    0,0
20170712,   53,5.3
20170713,   68,6.8
20170714,   43,4.3
20170715,    0,0
20170716,   14,1.4
20170717,  112,11.2
20170718,   73,7.3
20170719,   16,1.6
20170720,   30,3
20170721,   65,6.5
20170722,   31,3.1
20170723,   38,3.8
20170724,    2,0.2
20170725,   88,8.8
20170726,    6,0.6
20170727,   32,3.2
20170728,   12,1.2
20170729,   40,4
20170730,   53,5.3
20170731,   91,9.1
20170801,   63,6.3
20170802,    0,0
20170803,   33,3.3
20170804,   67,6.7
20170805,   87,8.7
20170806,   86,8.6
20170807,    7,0.7
20170808,    3,0.3
20170809,    0,0
20170810,   77,7.7
20170811,   85,8.5
20170812,   43,4.3
20170813,  124,12.4
20170814,   66,6.6
20170815,   78,7.8
20170816,   47,4.7
20170817,   48,4.8
20170818,   72,7.2
20170819,   90,9
20170820,   63,6.3
20170821,    0,0
20170822,    5,0.5
20170823,   14,1.4
20170824,   59,5.9
20170825,  116,11.6
20170826,   76,7.6
20170827,   93,9.3
20170828,  120,12
20170829,   36,3.6
20170830,    2,0.2
20170831,   89,8.9
20170901,   92,9.2
20170902,   98,9.8
20170903,    1,0.1
20170904,    9,0.9
20170905,   11,1.1
20170906,   50,5
20170907,   27,2.7
20170908,   23,2.3
20170909,   69,6.9
20170910,   26,2.6
20170911,   50,5
20170912,   76,7.6
20170913,   81,8.1
20170914,   56,5.6
20170915,   52,5.2
20170916,   28,2.8
20170917,   33,3.3
20170918,   33,3.3
20170919,   65,6.5
20170920,   10,1
20170921,   12,1.2
20170922,   87,8.7
20170923,   12,1.2
20170924,   77,7.7
20170925,    0,0
20170926,   37,3.7
20170927,   11,1.1
20170928,   45,4.5
20170929,    6,0.6
20170930,   24,2.4
20171001,    0,0
20171002,   38,3.8
20171003,   65,6.5
20171004,   11,1.1
20171005,   75,7.5
20171006,   80,8
20171007,    0,0
20171008,   29,2.9
20171009,    9,0.9
20171010,    5,0.5
20171011,    5,0.5
20171012,   55,5.5
20171013,    0,0
20171014,    3,0.3
20171015,   35,3.5
20171016,   25,2.5
20171017,   16,1.6
20171018,    0,0
20171019,    0,0
20171020,   23,2.3
20171021,   48,4.8
20171022,   45,4.5
20171023,    0,0
20171024,    2,0.2
20171025,   56,5.6
20171026,    0,0
20171027,   82,8.2
20171028,   30,3
20171029,   28,2.8
20171030,   77,7.7
20171031,    4,0.4
20171101,   15,1.5
20171102,    4,0.4
20171103,   39,3.9
20171104,    5,0.5
20171105,   49,4.9
20171106,   69,6.9
20171107,    0,0
20171108,    3,0.3
20171109,   10,1
20171110,   34,3.4
20171111,    5,0.5
20171112,   33,3.3
20171113,   33,3.3
20171114,    0,0
20171115,    0,0
20171116,   16,1.6
20171117,   58,5.8
20171118,    0,0
20171119,   35,3.5
20171120,    0,0
20171121,    1,0.1
20171122,    1,0.1
20171123,   54,5.4
20171124,    3,0.3
20171125,   61,6.1
20171126,   53,5.3
20171127,    2,0.2
20171128,   41,4.1
20171129,    1,0.1
20171130,   42,4.2
20171201,   35,3.5
20171202,    0,0
